fsq_id,categories/0/id,categories/0/name,categories/0/short_name,categories/0/plural_name,categories/0/icon/prefix,categories/0/icon/suffix,categories/1/id,categories/1/name,categories/1/short_name,categories/1/plural_name,categories/1/icon/prefix,categories/1/icon/suffix,closed_bucket,distance,geocodes/drop_off/latitude,geocodes/drop_off/longitude,geocodes/main/latitude,geocodes/main/longitude,geocodes/roof/latitude,geocodes/roof/longitude,link,location/address,location/country,location/cross_street,location/formatted_address,location/locality,location/postcode,location/region,name,timezone,categories/2/id,categories/2/name,categories/2/short_name,categories/2/plural_name,categories/2/icon/prefix,categories/2/icon/suffix
4cc0929bca4aa1cdf4d420b4,13034,Café,Café,Cafés,https://ss3.4sqi.net/img/categories_v2/food/cafe_,.png,13035,Coffee Shop,Coffee Shop,Coffee Shops,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,.png,LikelyOpen,94,48.213789,16.359172,48.213832,16.359024,48.213832,16.359024,/v3/places/4cc0929bca4aa1cdf4d420b4,Reichsratsstr. 17,AT,Universitätsstr.,"Reichsratsstr. 17 (Universitätsstr.), 1010 Wien",Wien,1010,Wien,Cafe-Restaurant Votiv,Europe/Vienna,,,,,,
4b65a344f964a5206af72ae3,13035,Coffee Shop,Coffee Shop,Coffee Shops,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,.png,,,,,,,LikelyOpen,53,,,48.214423,16.358343,,,/v3/places/4b65a344f964a5206af72ae3,,AT,,1090 Wien,Wien,1090,Wien,Cafe Maximilian,Europe/Vienna,,,,,,
588695d05c0e4ef361abb752,13034,Café,Café,Cafés,https://ss3.4sqi.net/img/categories_v2/food/cafe_,.png,13035,Coffee Shop,Coffee Shop,Coffee Shops,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,.png,Unsure,67,48.214455,16.358046,48.214602,16.358068,48.214602,16.358068,/v3/places/588695d05c0e4ef361abb752,Universitätsstr. 2,AT,,"Universitätsstr. 2, 1090 Wien",Wien,1090,Wien,Caffetteria Maximilian,Europe/Vienna,13065,Restaurant,Restaurant,Restaurants,https://ss3.4sqi.net/img/categories_v2/food/default_,.png
e5dc749e092740c566da9d0b,13034,Café,Café,Cafés,https://ss3.4sqi.net/img/categories_v2/food/cafe_,.png,13035,Coffee Shop,Coffee Shop,Coffee Shops,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,.png,LikelyOpen,4,,,48.214008,16.357938,,,/v3/places/e5dc749e092740c566da9d0b,Liebiggasse 6,AT,,"Liebiggasse 6, 1010 Wien",Wien,1010,Wien,M-Cafe NIG Neues Institutsgebäude d,,,,,,,
5458cbab498ebedaabf75b65,13034,Café,Café,Cafés,https://ss3.4sqi.net/img/categories_v2/food/cafe_,.png,13035,Coffee Shop,Coffee Shop,Coffee Shops,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,.png,LikelyOpen,286,,,48.214945,16.361793,48.214945,16.361793,/v3/places/5458cbab498ebedaabf75b65,Währingerstr. 2- 4,AT,,"Währingerstr. 2- 4, 1090 Wien",Wien,1090,Wien,Jonas Reindl,Europe/Vienna,13065,Restaurant,Restaurant,Restaurants,https://ss3.4sqi.net/img/categories_v2/food/default_,.png
58e38a1adfa6ff759c327ca7,13034,Café,Café,Cafés,https://ss3.4sqi.net/img/categories_v2/food/cafe_,.png,13035,Coffee Shop,Coffee Shop,Coffee Shops,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,.png,LikelyOpen,273,,,48.216105,16.356601,48.216105,16.356601,/v3/places/58e38a1adfa6ff759c327ca7,Garnisongasse 7,AT,,"Garnisongasse 7, 1090 Wien",Wien,1090,Wien,Cafe Telegraph,Europe/Vienna,13065,Restaurant,Restaurant,Restaurants,https://ss3.4sqi.net/img/categories_v2/food/default_,.png
4e858b1b4901d14ec666533a,13034,Café,Café,Cafés,https://ss3.4sqi.net/img/categories_v2/food/cafe_,.png,13035,Coffee Shop,Coffee Shop,Coffee Shops,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,.png,LikelyOpen,374,48.214707,16.353076,48.214691,16.352907,48.214691,16.352907,/v3/places/4e858b1b4901d14ec666533a,Schlösselgasse 21,AT,,"Schlösselgasse 21, 1080 Wien",Wien,1080,Wien,POC People On Caffeine,Europe/Vienna,13065,Restaurant,Restaurant,Restaurants,https://ss3.4sqi.net/img/categories_v2/food/default_,.png
4b75b69df964a5200c1f2ee3,13003,Bar,Bar,Bars,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,.png,13034,Café,Café,Cafés,https://ss3.4sqi.net/img/categories_v2/food/cafe_,.png,LikelyOpen,279,48.216558,16.357308,48.216664,16.357272,48.216664,16.357272,/v3/places/4b75b69df964a5200c1f2ee3,Schwarzspanierstr. 15,AT,,"Schwarzspanierstr. 15, 1090 Wien",Wien,1090,Wien,Weltcafé,Europe/Vienna,13035,Coffee Shop,Coffee Shop,Coffee Shops,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,.png
5e1497694a505500082c446e,13035,Coffee Shop,Coffee Shop,Coffee Shops,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,.png,13036,Tea Room,Tea Room,Tea Rooms,https://ss3.4sqi.net/img/categories_v2/food/tearoom_,.png,LikelyOpen,254,48.211714,16.3571,48.211837,16.357116,48.211837,16.357116,/v3/places/5e1497694a505500082c446e,Felderstr. 6- 8,AT,,"Felderstr. 6- 8, 1010 Wien",Wien,1010,Wien,AGGYS third wave coffee,Europe/Vienna,,,,,,
625962b85140540088ea59e0,13035,Coffee Shop,Coffee Shop,Coffee Shops,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,.png,,,,,,,LikelyOpen,291,,,48.21556,16.361176,,,/v3/places/625962b85140540088ea59e0,,AT,,Wien,Wien,,Wien,No Panic,Europe/Vienna,,,,,,
